Taxonomy	ASE.V01.A	ASE.V01.B	ASE.V01.C	ASE.V02.A	ASE.V02.B	ASE.V02.C	ASE.V03.A	ASE.V03.B	ASE.V03.C	ASE.V04.A	ASE.V04.B	ASE.V04.C	PDC.V01.5	PDC.V01.6	PDC.V01.7	PDC.V02.5	PDC.V02.6	PDC.V02.7	PDC.V03.5	PDC.V03.6	PDC.V03.7	PDC.V04.5	PDC.V04.6	PDC.V04.7	Tax_detail
Neisseria	0	0	0	0	0	0	0	0	0	0	0	0	0.00114527769061814	0	0	0	0	0.158926890492626	1.56887354879197e-05	0	0	0	0	0.00604016316284907	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;
Pseudomonas	0	0	0	0.136115469093191	0.0634452463131472	0	0	0	3.13774709758394e-05	0.000188264825855036	0	0	0	0	0	0.00047066206463759	9.4132412927518e-05	0.00116096642610606	0.0537496077816128	0	0.00255726388453091	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	0	0.000454973329149671	0.0206463759021023	0	0	0	0	1.56887354879197e-05	0	0.000125509883903357	0.0814559146532789	0.007812990272984	0.0978349545026671	0.0135236899905868	0.000800125509883903	0.00538123627235645	0.0445560087856919	0.0270160025101977	0	6.27549419516787e-05	0.0320520866018199	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;
Lactobacillus	0	0	0	0	0.00094132412927518	0.00931910887982429	0	0.0167241920301224	0	0	3.13774709758394e-05	0	1.56887354879197e-05	3.13774709758394e-05	0	0.0795105114527769	0.0592249764668968	0	0	0	0.00050203953561343	0	0	0.000251019767806715	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;
Kocuria	0	0	0	0	0.00354565422026985	0	0.0216504549733291	0.00652651396297458	0.00786005647944776	0.0673517414496392	0.0650141198619391	0.0454816441794791	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;
Vibrio	0	0	0	0	0.000235331032318795	0	0.0656887354879197	0	0	6.27549419516787e-05	4.7066206463759e-05	0.022842798870411	0	0	0	0	0	7.84436774395984e-05	0	0	0	3.13774709758394e-05	0.0426890492626294	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;
Lactococcus	0	0	0	0.0650611860684029	0.0450894257922811	0	0	0	0	0	0	0	0	0	0	0	0	3.13774709758394e-05	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;
Cutibacterium	0	0	0	0.0130216504549733	0.00244744273611547	0.0258707248195795	0.00709130844053969	0.0172732977721996	0	0	0.000109821148415438	0.00539692500784437	0	1.56887354879197e-05	0.0558048321305303	0	0.0097270160025102	9.4132412927518e-05	0.000109821148415438	0	0	9.4132412927518e-05	0.0119391277063069	1.56887354879197e-05	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;
Parabacteroides	0	0	0	0	0	0	0	0	0	0	0	0	7.84436774395984e-05	0	0	0	0.0486507687480389	0.000502039535613429	0	0	0	0	0	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;
Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56887354879197e-05	0	0.0451678694697207	0	0	0	0	0	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;
Photobacterium	0	0	0	0	0	0	0.0445873862566677	0.0106369626608095	0.000251019767806715	0	0.000298085974270474	0.0153906495136492	0	0	0	0	0	4.7066206463759e-05	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;
unidentified_Mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125509883903357	0	0	0	0	0.0438029494822717	3.13774709758394e-05	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__unidentified_Mitochondria;
Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0.000219642296830875	0	0	0	0	0.00120803263256981	0	0	0	0.0431754000627549	0	0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;
Bacillus	0	0	0	0.00244744273611547	0.00178851584562284	0	0	0.0212582365861312	0	0.000188264825855036	0.00425164731722623	0.0415123941010355	0.000125509883903357	0	0	0.01719485409476	4.7066206463759e-05	0.00371823031063696	0	0	0.000423595858173831	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;
Sphingopyxis	0	0	0	0	3.13774709758394e-05	0	0	0	0	0	0	0	0	0	0	0	0	4.7066206463759e-05	0	0	0	0.0388923752745529	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;
Veillonella	0	0	0	0	0	0	0	0	0	0	0	0	0.000109821148415438	0	0	0	0	0.0332601192343897	0	0	0	0	0	0.00133354251647317	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;
Chryseobacterium	0	0	0	0.00145905240037653	0.000862880451835582	0.011719485409476	0.0315657358016944	0	0	0	0	0.00534985880138061	0	0	0	0	0	0.000109821148415438	0	0	0	0	0	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;
Corynebacterium	0	0	0	0.0243332287417634	0.0231251961091936	0	1.56887354879197e-05	0.00196109193598996	0	0.00153749607781613	0.00120803263256981	0.0207561970505177	0	0	0	0	0	0.000439284593661751	0	3.13774709758394e-05	7.84436774395984e-05	0	0	6.27549419516787e-05	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;
Sphingomonas	0	0	0	0	0.000282397238782554	0	0.0133824913711955	0.00536554753686853	0	0	0	0.00922497646689677	0.000109821148415438	0	0	0.000156887354879197	0.0223093818638218	0.00527141512394101	4.7066206463759e-05	0	0	0.00050203953561343	0.000109821148415438	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;
Porphyrobacter	0	0	0	0	0.00142767492940069	0.0202070913084405	0	0.00842485095701286	0.000392218387197992	0	4.7066206463759e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Porphyrobacter;
Prevotella_7	0	0	0	0.0009570128647631	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0193598995920929	0	0	0	0	0	0.000564794477565108	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_7;
Nocardioides	0	0	0	0	0.000298085974270474	0.0040633824913712	0	0.00511452776906181	4.7066206463759e-05	0	4.7066206463759e-05	0	9.4132412927518e-05	0	0	0	0	0.0192030122372137	0	0	0	0	4.7066206463759e-05	0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;
Faecalibacterium	0	0	0	0	0	0	0	0.0190618136178224	0	0	0	0	0.000329463445246313	0	0	0.000141198619391277	0	0.0027925949168497	0	0	0.000109821148415438	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;
unidentified_Chloroplast	0	0	0	0.00120803263256981	0.000203953561342956	0.00550674615625981	0.0189206149984311	0	0	0	0	0.0040633824913712	4.7066206463759e-05	9.4132412927518e-05	0	0	0	0.00120803263256982	0	0	0.000156887354879197	0	0	6.27549419516787e-05	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__unidentified_Chloroplast;g__unidentified_Chloroplast;
Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7066206463759e-05	0	0.0187794163790399	0	0	0	0	0	0.000862880451835582	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;
Odoribacter	0	0	0	0	0	0	0	0.0161593975525573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;
Ureaplasma	0	0	0	0.0154690931910888	0.00953875117665516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma;
Scytonema_UTEX_2349	0	0	0	0	0	0	0	0	0	0	0	0	0.000109821148415438	0	0	0	0	0.0145591465327895	0	0	0	0	0	0.000439284593661751	k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Scytonema_UTEX_2349;
Escherichia-Shigella	0	0	0	0	0	0	0	0	0	0	0	0	0.00114527769061814	0	0	0	0	0.0145434577973015	4.7066206463759e-05	0	1.56887354879197e-05	0	0	9.4132412927518e-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;
Tepidimonas	0	0	0	0.00903671164104173	0.0144807028553499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Tepidimonas;
Aquabacterium	0	0	0	0	0.00269846250392218	0.00858173831189206	0.014261060558519	0	0	0.000454973329149671	0	0.0038280514590524	0	0	0	0	0	9.4132412927518e-05	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium;
Candidatus_Alysiosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134452463131472	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;g__Candidatus_Alysiosphaera;
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133511139002196	0	0	0	0	0	0.000454973329149671	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;
Rothia	0	0	0	0	0.000219642296830875	0	0	0	0	0	0	0	0.000172576090367116	0	0	0	0	0.0130687166614371	0	0	0	0	0	0.000909946658299341	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;
Chelativorans	0	0	0	0	0	0	0	0	0	0	0	0	0.00451835582052087	0	0	0	0	0.0130373391904612	0	0	0	0	0	0.000439284593661751	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Chelativorans;
Phascolarctobacterium	0	0	0	0	0.000266708503294634	0.0119391277063069	0	0	0	0	0	0	6.27549419516787e-05	0	0	0	0	0.00224348917477251	0	0	0	0	0	6.27549419516787e-05	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;
Prevotella_9	0	0	0	0	9.4132412927518e-05	0	0	0.00219642296830875	0	0	0	0	0	0	0	4.7066206463759e-05	0	0.0115782867900847	0	0	6.27549419516787e-05	0	0	0.000125509883903357	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9;
Limnobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109978035770317	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnobacter;
Ralstonia	0	0	0	0	0	0.000109821148415438	0	0.0102447442736115	0	0	0	0	0	0	0	0	0	0.000737370567932225	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;
Alloprevotella	0	0	0	0	0	0	0	0	0.000235331032318795	0	0	0	0	0	0	6.27549419516787e-05	0	0.00997803577031691	0	0	1.56887354879197e-05	0	0	0.000721681832444305	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;
Acidovorax	0	0	0	0	0.000517728271101349	0.00855036084091622	0	0	0	0	0	0	0	0	0	0	0	0.000313774709758393	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;
Jeotgalicoccus	0	0	0	0	0	0	0	0	0	0.000549105742077189	0.000298085974270474	0.00754628176968936	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Jeotgalicoccus;
Actinomycetospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00754628176968936	0	0	0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinomycetospora;
Conexibacter	0	0	0	0	0	0.00754628176968936	0	0	0	0	0	0	0	0	0	0	0	0.000580483213053028	0	0	0	0	0	0	k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;
Fusicatenibacter	0	0	0	0	0	0	0	0.0074992155632256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;
Aquicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000329463445246313	0	0	0	0.00696579855663634	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquicella;
Luteimonas	0	0	0	0.00138060872293693	0.000376529651710072	0	0.00679322246626922	0	0	0	0	0	0	0	0	0	0	0.00150611860684029	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas;
Haliangium	0	0	0	0	0	0	0	0.00676184499529338	0	0	0	0	0	0	0	0	0	0.000439284593661751	0	0	0	0	0	0	k__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__Haliangium;
Aliicoccus	0	0	0	0	0	0.00651082522748666	0	0	0	0	0	0	0	3.13774709758394e-05	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Aliicoccus;
Chujaibacter	0	0	0	0	0	0	0	0.00616567304675243	0	0	0	0	0	0	0	0	0	4.7066206463759e-05	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Chujaibacter;
Gemmatimonas	0	0	0	0	0.000251019767806715	0	0	0	0	0	0	0	0.000313774709758393	0	0	0	0	0.00610291810480075	1.56887354879197e-05	0	0	0	0	0	k__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;
UCG-005	1.56887354879197e-05	0	3.13774709758394e-05	0	0	0	0	0.00600878569187323	0	0	1.56887354879197e-05	0	0	0	0	0	0	0.000360840916222152	0	0	7.84436774395984e-05	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005;
Fusobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00593034201443364	3.13774709758394e-05	0	0	0	0	0.000423595858173831	k__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;
Arenimonas	0	0	0	0	0	0	0	0	0	0	0	0	0.000188264825855036	0	0	0	0	0.00591465327894572	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;
1174-901-12	0	0	0	0	0	0	0	0.0058989645434578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__1174-901-12;
Microbacterium	0	0	0	0	0.000329463445246313	0	0.00577345465955444	0.00363978663319736	7.84436774395984e-05	0	6.27549419516787e-05	0.00283966112331346	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;
CHKCI002	0	0	0	0	0	0	0.00569501098211484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CHKCI002;
Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00555381236272356	0	0	0	0	0	0.000251019767806715	k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus;
Melghirimyces	0	0	0	0	0	0	0	0.00553812362723564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Melghirimyces;
Micropruina	0	0	0	0	0	0	0	0.00549105742077189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Micropruina;
Lawsonella	0	0	0	0.000737370567932225	0.000125509883903357	0	0.00538123627235645	0.00285534985880138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella;
Gemmata	0	0	0	0.00505177282711014	0.000313774709758393	0	0	0	0	0	0	0	0	0	0	0	0	1.56887354879197e-05	0	0	0	0	0	0	k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Gemmata;
Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00492626294320678	0	0	0	0	0	7.84436774395984e-05	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;
Brevibacterium	0	0	0	0	0.000533417006589269	0	0	0	0.00202384687794164	0.00483213053027926	0.00334170065892689	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;
Iamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00454973329149671	0	0	0	0	0	0	k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae;g__Iamia;
Bacteroides	0	0	1.56887354879197e-05	0	9.4132412927518e-05	0	0	0.00448697834954503	0	0	1.56887354879197e-05	0	0	0	0	4.7066206463759e-05	0	0.003906495136492	0	0	9.4132412927518e-05	0	0	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;
Pseudolabrys	0	0	0	0.00422026984625039	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105114527769062	0	0	0	0	0	4.7066206463759e-05	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;
Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381236272356448	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;
Butyricicoccus	0	0	0	0	0	0	0	0.00370254157514904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;
Acidibacter	0	0	0	0	0	0	0	0.00368685283966112	0	0	0	0	0	0	0	0	0	0.000549105742077189	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__unidentified_Gammaproteobacteria;f__unidentified_Gammaproteobacteria;g__Acidibacter;
Tenacibaculum	0	0	0	0	0	0	0	0.00363978663319736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;
Anaerofilum	0	0	0	0	0	0	0	0.00357703169124569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum;
Subdoligranulum	0	0	6.27549419516787e-05	0.00351427674929401	0	0	0	0.000329463445246313	0	0	3.13774709758394e-05	0	0	0	0	3.13774709758394e-05	0	0.000658926890492626	0	0	0	4.7066206463759e-05	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;
Pantoea	0	0	0	0	0	0	0	0.00326325698148729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;
Clostridium_sensu_stricto_1	0	0	0	0	0	0	7.84436774395984e-05	0	0	0	0	0	9.4132412927518e-05	0	0	0	0	0.00321619077502353	0	0	6.27549419516787e-05	0	0	0.000156887354879197	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;
Caproiciproducens	0	0	0	0	0	0	0	0.00313774709758393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Caproiciproducens;
Phreatobacter	0	0	0	0	0	0	0	0	0	0	0	0.00309068089112018	0	0	0	0	0	1.56887354879197e-05	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__unidentified_Rhizobiales;g__Phreatobacter;
Craurococcus-Caldovatus	0	0	0	0	0	0.00307499215563226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Craurococcus-Caldovatus;
