Taxonomy	ASE.V01.A	ASE.V01.B	ASE.V01.C	ASE.V02.A	ASE.V02.B	ASE.V02.C	ASE.V03.A	ASE.V03.B	ASE.V03.C	ASE.V04.A	ASE.V04.B	ASE.V04.C	PDC.V01.5	PDC.V01.6	PDC.V01.7	PDC.V02.5	PDC.V02.6	PDC.V02.7	PDC.V03.5	PDC.V03.6	PDC.V03.7	PDC.V04.5	PDC.V04.6	PDC.V04.7	Tax_detail
Chloroflexi	0	0	0	4.7066206463759e-05	0.00323187951051145	0	0	0.000125509883903357	0	0	1.56887354879197e-05	0	7.84436774395984e-05	0	0	0	0	0.0080483213053028	0	0	0	0	0	4.7066206463759e-05	k__Bacteria;p__Chloroflexi;
Fusobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00776592406652024	3.13774709758394e-05	0	0	0	0	0.000454973329149671	k__Bacteria;p__Fusobacteriota;
Myxococcota	0	0	0	0	0	0	0	0.00676184499529338	0	0	0	0	6.27549419516787e-05	0	0	0	0	0.00196109193598996	0	0	0	1.56887354879197e-05	0	4.7066206463759e-05	k__Bacteria;p__Myxococcota;
Spirochaetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125509883903357	0	0.00262001882648259	0	0	0	0	0	9.41324129275181e-05	k__Bacteria;p__Spirochaetota;
Nitrospirota	0	0	0	0	0	0	0	0.00251019767806715	0	0	0	0	0	0	0	0	0	0.000705993096956385	0	0	0	0	0	0	k__Bacteria;p__Nitrospirota;
Verrucomicrobiota	0	0	0	0.0018355820520866	0.000219642296830875	0	4.7066206463759e-05	0	0	0	0	0	0.000533417006589269	0	0	0	0	0.00174144963915908	0	0	4.7066206463759e-05	0	6.27549419516787e-05	0	k__Bacteria;p__Verrucomicrobiota;
SAR324_clade(Marine_group_B)	0	0	0	0	0	0	0	0.00180420458111076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__SAR324_clade(Marine_group_B);
Bdellovibrionota	0	0	0	0	6.27549419516787e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00177282711013492	0	0	0	0	0	0	k__Bacteria;p__Bdellovibrionota;
Fibrobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127078757452149	0	0	0	0	0	0	k__Bacteria;p__Fibrobacterota;
Desulfobacterota	0	0	0	4.7066206463759e-05	0	0	0	0	0	0	0	0	9.4132412927518e-05	0	0	0	1.56887354879197e-05	0.00116096642610606	0	0	1.56887354879197e-05	0	0	0	k__Bacteria;p__Desulfobacterota;
Aquificota	0	0	1.56887354879197e-05	0	0.00094132412927518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Aquificota;
Nanoarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000721681832444305	0	0	0	0	0	0	k__Archaea;p__Nanoarchaeota;
Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000690304361468465	0	0	0	6.27549419516787e-05	0	0	k__Archaea;p__Crenarchaeota;
Armatimonadota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00050203953561343	0	0	0	0	0	0	k__Bacteria;p__Armatimonadota;
Campylobacterota	0	0	0	0	7.84436774395984e-05	0	0	0	0	0.000454973329149671	0	0	0	0	0	0	0	0.000125509883903357	0	0	0	0	0	0	k__Bacteria;p__Campylobacterota;
Synergistota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000298085974270474	0	0	0	0	0	0	k__Bacteria;p__Synergistota;
FCPU426	0	0	0	0	0.000251019767806715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__FCPU426;
NB1-j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000251019767806715	0	0	0	0	0	0	k__Bacteria;p__NB1-j;
Modulibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000251019767806715	0	0	0	0	0	0	k__Bacteria;p__Modulibacteria;
Methylomirabilota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000219642296830875	0	0	0	0	0	0	k__Bacteria;p__Methylomirabilota;
Latescibacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000172576090367116	0	0	0	0	0	0	k__Bacteria;p__Latescibacterota;
Elusimicrobiota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000172576090367116	0	0	0	0	0	0	k__Bacteria;p__Elusimicrobiota;
RCP2-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125509883903357	0	0	0	0	0	0	k__Bacteria;p__RCP2-54;
Thermoplasmatota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125509883903357	0	0	0	0	0	0	k__Archaea;p__Thermoplasmatota;
Dependentiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84436774395984e-05	0	0	0	0	0	0	k__Bacteria;p__Dependentiae;
MBNT15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.27549419516787e-05	0	0	0	0	0	0	k__Bacteria;p__MBNT15;
Sva0485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7066206463759e-05	0	0	0	0	0	0	k__Bacteria;p__Sva0485;
Zixibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7066206463759e-05	0	0	0	0	0	0	k__Bacteria;p__Zixibacteria;
Others	0	0	0.000125509883903363	0.00367116410417334	0.00119234389708223	0.000423595858174086	0.000627549419517037	0.00117665516159393	6.2754941951737e-05	0.000125509883903474	0	0.000564794477565078	0.00155318481330391	0.000611860684028964	0	0	0	0.0364606212739274	0	3.33066907387547e-16	0	0.120175713837465	0.000188264825855211	1.5688735488073e-05	Others
